country_iso_code,year,temperature_change
BIH,2011,1.117
BIH,2012,1.756
BIH,2013,1.319
BIH,2014,1.823
BIH,2015,1.813
BIH,2016,1.673
BIH,2017,1.419
BIH,2018,2.275
BIH,2019,1.987
BIH,2020,1.88
BIH,2021,1.598
BIH,2022,2.091
BWA,2000,-0.718
BWA,2001,-0.186
BWA,2002,0.359
BWA,2003,0.74
BWA,2004,-0.133
BWA,2005,1.039
BWA,2006,-0.505
BWA,2007,0.23
BWA,2008,0.153
BWA,2009,-0.319
BWA,2010,0.936
BWA,2011,-0.048
BWA,2012,0.473
BWA,2013,0.77
BWA,2014,-0.092
BWA,2015,1.546
BWA,2016,1.469
BWA,2017,0.017
BWA,2018,0.734
BWA,2019,1.525
BWA,2020,0.493
BWA,2021,-0.425
BWA,2022,-1.305
BRA,2000,0.495
BRA,2001,0.746
BRA,2002,1.052
BRA,2003,0.927
BRA,2004,0.768
BRA,2005,1.085
BRA,2006,0.77
BRA,2007,0.969
BRA,2008,0.731
BRA,2009,0.969
BRA,2010,1.112
BRA,2011,0.814
BRA,2012,1.023
BRA,2013,0.922
BRA,2014,1.153
BRA,2015,1.516
BRA,2016,1.457
BRA,2017,1.363
BRA,2018,1.148
BRA,2019,1.517
BRA,2020,1.477
BRA,2021,1.154
BRA,2022,0.926
VGB,2000,0.192
VGB,2001,0.57
VGB,2002,0.741
VGB,2003,0.843
VGB,2004,0.548
VGB,2005,0.825
VGB,2006,0.76
VGB,2007,1.007
VGB,2008,0.406
VGB,2009,0.621
VGB,2010,1.053
VGB,2011,0.393
VGB,2012,0.61
VGB,2013,0.782
VGB,2014,0.878
VGB,2015,1.065
VGB,2016,1.204
VGB,2017,0.971
VGB,2018,0.703
VGB,2019,0.915
VGB,2020,1.317
VGB,2021,0.956
VGB,2022,0.875
BRN,2000,0.485
BRN,2001,0.602
BRN,2002,0.669
BRN,2003,0.735
BRN,2004,0.673
BRN,2005,0.893
BRN,2006,0.718
BRN,2007,0.743
BRN,2008,0.511
BRN,2009,0.875
BRN,2010,1.012
BRN,2011,0.725
BRN,2012,0.912
BRN,2013,1.195
BRN,2014,1.028
BRN,2015,1.281
BRN,2016,1.74
BRN,2017,1.468
BRN,2018,1.41
BRN,2019,1.624
BRN,2020,1.783
BRN,2021,1.458
BRN,2022,1.446
BGR,2000,1.184
BGR,2001,1.648
BGR,2002,0.854
BGR,2003,0.181
BGR,2004,0.533
BGR,2005,0.215
BGR,2006,0.571
BGR,2007,1.883
BGR,2008,1.177
BGR,2009,1.291
BGR,2010,1.361
BGR,2011,0.422
BGR,2012,1.678
BGR,2013,1.476
BGR,2014,1.196
BGR,2015,1.438
BGR,2016,1.899
BGR,2017,0.954
BGR,2018,2.192
BGR,2019,2.112
BGR,2020,2.037
BGR,2021,1.629
BGR,2022,1.831
BFA,2000,0.537
BFA,2001,0.502
BFA,2002,1.015
BFA,2003,0.986
BFA,2004,0.867
BFA,2005,1.449
BFA,2006,1.162
BFA,2007,0.867
BFA,2008,0.297
BFA,2009,0.942
BFA,2010,1.25
BFA,2011,1.001
BFA,2012,0.492
BFA,2013,0.849
BFA,2014,0.888
BFA,2015,1.111
BFA,2016,1.075
BFA,2017,1.212
BFA,2018,1.156
BFA,2019,1.065
BFA,2020,1.044
BFA,2021,1.624
BFA,2022,0.802
BDI,2000,
BDI,2001,0.459
BDI,2002,0.887
BDI,2003,1.032
BDI,2004,1.122
BDI,2005,
BDI,2006,
BDI,2007,1.242
BDI,2008,
BDI,2009,
BDI,2010,
BDI,2011,
BDI,2012,
BDI,2013,
BDI,2014,
BDI,2015,
BDI,2016,
BDI,2017,
BDI,2018,
BDI,2019,
BDI,2020,
BDI,2021,
BDI,2022,
CPV,2000,1.039
CPV,2001,1.329
CPV,2002,1.478
CPV,2003,1.569
CPV,2004,1.604
CPV,2005,1.171
CPV,2006,1.356
CPV,2007,0.821
CPV,2008,1.302
CPV,2009,0.772
CPV,2010,
CPV,2011,1.372
CPV,2012,1.338
CPV,2013,1.331
CPV,2014,1.083
CPV,2015,1.071
CPV,2016,1.692
CPV,2017,2
CPV,2018,0.926
CPV,2019,1.622
CPV,2020,
CPV,2021,1.765
CPV,2022,1.853
KHM,2000,0.296
KHM,2001,0.571
KHM,2002,0.836
KHM,2003,0.711
KHM,2004,0.594
KHM,2005,0.781
KHM,2006,0.767
KHM,2007,0.604
KHM,2008,0.43
KHM,2009,0.453
KHM,2010,1.225
KHM,2011,0.424
KHM,2012,0.875
KHM,2013,1.005
KHM,2014,0.614
KHM,2015,1.081
KHM,2016,1.473
KHM,2017,1.095
KHM,2018,0.787
KHM,2019,1.552
KHM,2020,1.401
KHM,2021,0.912
KHM,2022,0.948
CMR,2000,0.319
CMR,2001,0.198
CMR,2002,0.77
CMR,2003,0.707
CMR,2004,0.779
CMR,2005,1.004
CMR,2006,0.983
CMR,2007,0.626
CMR,2008,0.653
CMR,2009,1.047
CMR,2010,1.181
CMR,2011,0.655
CMR,2012,0.416
