week,week_ending,commit,era,adapter,group,platform,tests_passed,suite_tests,test_pass_pct,functions_supported,suite_functions,function_supported_pct,tests_reported,functions_reported
2026-W14,2026-04-02,5a5291a5e2,json,Spanner,Store_Relational,compiled,315,1199,26.27,97,230,42.17,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,SqlServer,Store_Relational,compiled,368,1199,30.69,102,230,44.35,1199,230
2026-W14,2026-04-02,5a5291a5e2,json,Trino,Store_Relational,compiled,529,1199,44.12,133,230,57.83,1199,230
2026-W15,2026-04-10,28867a2e0e,json,ClickHouse,Store_Relational,compiled,561,1201,46.71,140,230,60.87,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Databricks,Store_Relational,compiled,600,1201,49.96,148,230,64.35,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Deephaven,Store_Deephaven,compiled,76,1201,6.33,29,230,12.61,680,125
2026-W15,2026-04-10,28867a2e0e,json,DuckDB,Store_Relational,compiled,938,1201,78.1,197,230,85.65,1201,230
2026-W15,2026-04-10,28867a2e0e,json,H2,Store_Relational,compiled,701,1201,58.37,158,230,68.7,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Java,Platform,compiled,473,1201,39.38,138,230,60.0,1113,223
2026-W15,2026-04-10,28867a2e0e,json,MemSQL,Store_Relational,compiled,442,1201,36.8,119,230,51.74,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Native (compiled),,compiled,1195,1201,99.5,230,230,100.0,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Native (interpreted),,interpreted,1194,1201,99.42,230,230,100.0,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Oracle,Store_Relational,compiled,527,1201,43.88,124,230,53.91,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Postgres,Store_Relational,compiled,689,1201,57.37,153,230,66.52,1201,230
2026-W15,2026-04-10,28867a2e0e,json,PythonLegendQL,Reverse_PCT,compiled,492,1201,40.97,123,230,53.48,1195,224
2026-W15,2026-04-10,28867a2e0e,json,PythonPandasAPI,Reverse_PCT,compiled,384,1201,31.97,114,230,49.57,1195,224
2026-W15,2026-04-10,28867a2e0e,json,SQL,Reverse_PCT,compiled,477,1201,39.72,113,230,49.13,1195,224
2026-W15,2026-04-10,28867a2e0e,json,Snowflake,Store_Relational,compiled,921,1201,76.69,196,230,85.22,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Spanner,Store_Relational,compiled,315,1201,26.23,97,230,42.17,1201,230
2026-W15,2026-04-10,28867a2e0e,json,SqlServer,Store_Relational,compiled,368,1201,30.64,102,230,44.35,1201,230
2026-W15,2026-04-10,28867a2e0e,json,Trino,Store_Relational,compiled,529,1201,44.05,133,230,57.83,1201,230
